PB0,PB1,PB2,PB3,GB0,GB1,GB2,GB3,CIN,CINB,PB_OUT,GB_OUT,CNX_OUT,CNY_OUT,CNZ_OUT,total_leakage
1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,6850.714865730081
1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,6848.743766791339
1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,6728.867050120413
1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,6726.895951181671
1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,7138.614926415815
1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,7054.421447432557
1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,6933.245790442727
1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,6849.05231145947
1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,7037.913232958282
1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,6924.670171747943
1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,6916.065417348613
1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,6802.822356138275
1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,7135.349229972361
1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,7107.9559751243605
1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,6929.980093999273
1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,6902.586839151272
1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,7193.034504677727
1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,6959.803479480191
1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,7055.113955107422
1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,6821.882929909886
1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,6882.576697230448
1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,6964.126918655126
1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,6995.288217817157
1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,7076.838439241835
1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,6697.025372410654
1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,6749.526011608252
1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,6654.071275846505
1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,6706.571915044104
1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,6655.946314675256
1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,6683.024797963594
1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,6768.6578352619645
1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,6795.736318550303
1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,6562.994218475883
1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,6561.023119537141
1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,6520.040121911735
1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,6518.069022972993
1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,6935.743910523876
1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,6851.550431540619
1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,7048.455431110585
1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,6964.261952127327
1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,6750.192585704082
1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,6636.949524493743
1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,6707.238489139932
1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,6593.995427929594
1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,6932.478214080422
